Provinsi;IPM;AHH;IKP;II;LPP;KBS;PDRB_ADHB;PTP;RLS
Bangka Belitung;71.79571429;71.1;73.22428571;373;1.6;18.6;12287909.11;309972;8.095714286
Gorontalo;68.73833333;68.045;80.525;605;1.06;29;7326345.358;180116;7.9
Riau;71.745;70.25166667;66.84166667;1511;2.08;22.3;70258186.52;963443;9.050833333
Jakarta Raya;80.63333333;73.16;78.00833333;265;0.6;16.8;489147311.3;115323;10.85
Kepulauan Riau;73.49571429;68.88142857;63.26285714;319;3.48;17.6;38636728.24;223002;8.771428571
Sulawesi Selatan;70.87708333;69.57708333;80.81625;2527;0.97;27.4;22746614.07;6028384;8.272083333
Sumatera Selatan;68.80588235;68.06058824;69.54588235;2492;1.32;24.8;29373335.79;1312803;8.221176471
Kalimantan Barat;67.685;71.68142857;71.31428571;948;1.39;29.8;16523173.09;596624;7.303571429
Aceh;71.46086957;68.30608696;71.62565217;5024;1.49;33.2;8004280.701;2299767;9.503478261
Bengkulu;69.822;67.618;70.314;1187;1.48;22.1;7960775.274;4407240;8.612
Lampung;68.88933333;69.30733333;77.96;2167;1.1;18.5;25099046.79;1929602;8.183333333
Jawa Tengah;72.848;75.012;82.73514286;7765;0.83;20.9;40605163.52;23357431;7.979428571
Nusa Tenggara Barat;69.698;67.9;75.673;1053;1.76;31.4;14083211.39;4221346;7.915
Sumatera Utara;71.06424242;69.14666667;72.25454545;4467;1.23;25.8;26398576.79;14603502;9.180909091
Jambi;70.75272727;69.97636364;74.18363636;1240;1.39;22.4;21165472.7;3717762;8.501818182
Banten;71.775;68.21125;74.38;1225;1.76;24.5;83546155.28;805881;8.9075
Jawa Timur;72.22526316;71.71789474;79.51971429;7597;0.7;23.5;64640468.48;27005327;8.060789474
Yogyakarta;79.266;74.606;81.43;382;1.61;17.3;29817669.4;1250817;9.706
Kalimantan Selatan;70.75076923;68.60307692;80.29076923;1496;1.61;30;15170116.71;688830;8.28
Sulawesi Utara;71.56133333;69.956;78.29533333;1542;0.85;21.6;9563770.44;5502317;9.326666667
Kalimantan Utara;70.914;72.232;73.024;227;2.25;27.5;22302417.97;482428;9.108
Sulawesi Barat;66.78;66.335;75.49;356;1.66;33.8;8421046.227;177839;7.965
Maluku Utara;66.895;66.856;59.583;681;1.69;27.5;5282183.979;265370;8.82
Kalimantan Tengah;70.77071429;69.54071429;73.67642857;635;1.61;27.4;12102145.99;619339;8.641428571
Nusa Tenggara Timur;64.26272727;66.27;67.34727273;2030;1.56;37.8;5043683.084;1286232;7.627272727
Papua Barat;63.91230769;65.55076923;46.04461538;934;2.69;26.2;6535033.832;239790;7.716923077
Jawa Barat;71.94074074;72.43111111;77.79;5517;1.41;24.5;83144842;26018243;8.657777778
Sulawesi Tenggara;69.52705882;70.21470588;76.63529412;1717;1.75;30.2;8209625.376;#NAME?;8.715882353
Sumatera Barat;72.60421053;70.33842105;79.55263158;1075;1.1;23.3;13342903.02;10367222;9.244210526
Papua;57.70310345;65.25758621;35.48241379;930;1.61;29.5;8211025.891;622227;6.249310345
Kalimantan Timur;75.009;73.226;77.456;713;1.5;22.8;69661660.61;913047;9.442
Maluku;67.31545455;64.64818182;58.69909091;800;0.99;28.7;4486689.955;353192;9.4
Bali;74.86666667;72.73777778;83.81777778;660;1.4;10.9;24568784.8;2584644;8.642222222
Sulawesi Tengah;68.85384615;68.26384615;75.72461538;1466;1.62;29.7;19024926.96;1439324;8.896923077
